Name,Latitude,Longitude,Bot_Depth,Chl_su,PAR_su,SST_su,Chl_au,PAR_au,SST_au,Chl_win,PAR_win,SST_win,Chl_sp,PAR_sp,SST_sp
St2422,20.625,112.625,-72,0.169660002,45.07555008,29.34313393,0.306019992,30.04944992,26.14018631,0.297289997,27.03873062,22.05294991,0.141399994,42.43700027,26.20329857
St2423,20.625,112.791664,-79,0.150340006,44.84405136,29.34385109,0.267989993,30.03619003,26.19182396,0.315050006,26.84313965,22.2516098,0.134120002,42.36468124,26.21333885
St2424,20.625,113.041664,-80,0.13301,45.12398911,29.41485405,0.275169998,29.54627991,26.33024025,0.317180008,26.6373291,22.38142014,0.131170005,42.49140167,26.12082291
St2425,20.625,113.208336,-81,0.127440006,45.30202103,29.43206596,0.291509986,29.51301956,26.38904953,0.30625999,26.54163933,22.4366436,0.126809999,42.46672058,26.48300171
St2426,20.625,113.375,-84,0.128810003,45.13975143,29.41270256,0.315010011,29.25581932,26.44785881,0.308479995,26.3221302,22.50190735,0.127250001,42.4911499,26.50881958
St2427,20.625,113.625,-86,0.177059993,44.93539047,29.37612534,0.251120001,29.5678997,26.4908905,0.32743001,26.06646919,22.59657669,0.125310004,42.81505966,26.49304199
St2428,20.625,113.791664,-89,0.158480003,45.15190887,29.36178207,0.237189993,29.84866905,26.47511292,0.33811,26.04978943,22.70558739,0.131080002,42.85002136,26.56260872
St2429,20.625,114.041664,-90,0.152600005,45.30973816,29.39979172,0.215529993,29.40575027,26.56260872,0.310900003,26.2351799,22.78878212,0.127880007,43.03546906,26.3194828
St2430,20.625,114.208336,-94,0.162,45.28815079,29.38831711,0.194440007,29.29969978,26.50738525,0.345670015,26.42506027,22.83826637,0.129350007,42.85779953,26.24202728
St2431,20.625,114.375,-96,0.163849995,45.51781845,29.46218681,0.185540006,29.17715073,26.61496353,0.331140012,26.2734108,22.99533081,0.134839997,43.3920784,26.27716827
St2432,20.625,114.625,-98,0.132139996,45.71757126,29.41055107,0.20465,28.80141068,26.63934708,0.313360006,26.51740074,23.03118896,0.128209993,43.82024002,26.28792763
St2433,20.625,114.791664,-127,0.123690002,45.39604187,29.46935844,0.207910001,28.7357502,26.64293289,0.319290012,26.97092056,23.06704903,0.128539994,43.54943085,26.22266388
St2434,20.625,115.041664,-153,0.123450004,44.88171005,29.50665283,0.191339999,28.84911919,26.66158104,0.288120002,26.54269028,23.17677879,0.134059995,43.6282692,26.41271782
St2435,20.625,115.208336,-171,0.127670005,44.7925415,29.47294617,0.174070001,28.39319038,26.64651871,0.288020015,26.66888046,23.31519508,0.131650001,43.70652008,26.41773796
St2436,20.625,115.375,-276,0.130720004,44.98337936,29.41843987,0.174339995,28.45409966,26.59703445,0.310739994,26.41930962,23.38117599,0.135810003,43.42293167,26.47224426
